class,present_before,present_after
igp-pro-tour-facts__intro,True,True
igp-pro-tour-facts__item,True,True
igp-pro-tour-facts__note,True,True
igp-pro-tour-facts__value,True,True
igp-pro-trust,True,True
igp-pro-trust__avatar,True,True
igp-pro-trust__item,True,True
igp-pro-trust__items,True,True
igp-pro-trust__logo,True,True
igp-pro-trust__logos,True,True
igp-pro-trust__summary,False,True
igp-pro-visa-requirements,True,True
igp-pro-visa-requirements__applies,False,True
igp-pro-visa-requirements__documents,True,True
igp-pro-visa-requirements__intro,True,True
igp-pro-visa-requirements__item,True,True
igp-pro-visa-requirements__list,True,True
igp-pro-visa-requirements__note,True,True
igp-pro-visa-requirements__status,True,True
